"BehaviorSpace results (NetLogo 6.0.4)"
"evo_coop_periodic_rainfall_v3.nlogo"
"final_sims"
"06/30/2021 14:40:07:726 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","90","0","90"
"[run number]","show-energy?","average-drought","logistic-growth-rate","gap-width","minimum-plant-number","initial-population","average-rain","energy-transfer-cooperator","energy-transfer-non-cooperator","P","patch-width","[step]","mean cooperator-list","mean noncooperator-list","mean cooperator-lifespan-list","mean noncooperator-lifespan-list","mean cooperator-greentile-list","mean cooperator-blacktile-list","mean noncooperator-greentile-list","mean noncooperator-blacktile-list","mean patchHop-cooperators","mean patchHop-noncooperators"
"1","false","1","0.4","0","500","40","1","0.3","1","0","2","500","1.914","28.796","46.904761904761905","193.36458333333334","46.904761904761905","0","193.36458333333334","0","0","0"
"10","false","1","0.4","0","500","40","1","0.3","1","0","2","500","1.45","27.86","39.63157894736842","186.4294117647059","39.63157894736842","0","186.4294117647059","0","0","0"
"22","false","1","0.4","0","500","40","1","0.3","1","0","6","500","1.888","28.074","45.95238095238095","212.07734806629836","45.95238095238095","0","212.07734806629836","0","0","0"
"18","false","1","0.4","0","500","40","1","0.3","1","0","4","500","1.58","28.534","44.888888888888886","175.6875","44.888888888888886","0","175.6875","0","0","0"
"19","false","1","0.4","0","500","40","1","0.3","1","0","4","500","1.486","27.362","40.1578947368421","205.56428571428572","40.1578947368421","0","205.56428571428572","0","0","0"
"8","false","1","0.4","0","500","40","1","0.3","1","0","2","500","2.464","27.298","52.708333333333336","195.26415094339623","52.708333333333336","0","195.26415094339623","0","0","0"
"12","false","1","0.4","0","500","40","1","0.3","1","0","4","500","2.378","26.982","51","215.08955223880596","51","0","215.08955223880596","0","0","0"
"2","false","1","0.4","0","500","40","1","0.3","1","0","2","500","1.426","28.26","45.875","207.96511627906978","45.875","0","207.96511627906978","0","0","0"
"14","false","1","0.4","0","500","40","1","0.3","1","0","4","500","1.506","28.92","48.0625","201.41752577319588","48.0625","0","201.41752577319588","0","0","0"
"23","false","1","0.4","0","500","40","1","0.3","1","0","6","500","2.06","27.18","44.291666666666664","178.83116883116884","44.291666666666664","0","178.83116883116884","0","0","0"
"9","false","1","0.4","0","500","40","1","0.3","1","0","2","500","2.196","27.02","48.73913043478261","184.8954248366013","48.73913043478261","0","184.8954248366013","0","0","0"
"15","false","1","0.4","0","500","40","1","0.3","1","0","4","500","2.136","28.078","44.76","211.65425531914894","44.76","0","211.65425531914894","0","0","0"
"16","false","1","0.4","0","500","40","1","0.3","1","0","4","500","1.518","28.012","41.68421052631579","186.44871794871796","41.68421052631579","0","186.44871794871796","0","0","0"
"20","false","1","0.4","0","500","40","1","0.3","1","0","4","500","1.214","28.548","44.357142857142854","185.22459893048128","44.357142857142854","0","185.22459893048128","0","0","0"
"24","false","1","0.4","0","500","40","1","0.3","1","0","6","500","1.288","28.07","41.25","193.91860465116278","41.25","0","193.91860465116278","0","0","0"
"4","false","1","0.4","0","500","40","1","0.3","1","0","2","500","1.414","27.896","40.27777777777778","202.55974842767296","40.27777777777778","0","202.55974842767296","0","0","0"
"21","false","1","0.4","0","500","40","1","0.3","1","0","6","500","2.49","27.664","49.34615384615385","185.71069182389937","49.34615384615385","0","185.71069182389937","0","0","0"
"5","false","1","0.4","0","500","40","1","0.3","1","0","2","500","1.102","28.478","40.357142857142854","188.5","40.357142857142854","0","188.5","0","0","0"
"3","false","1","0.4","0","500","40","1","0.3","1","0","2","500","1.694","28.262","40.36363636363637","187.32911392405063","40.36363636363637","0","187.32911392405063","0","0","0"
"11","false","1","0.4","0","500","40","1","0.3","1","0","4","500","1.56","28.368","42.26315789473684","198.83050847457628","42.26315789473684","0","198.83050847457628","0","0","0"
"6","false","1","0.4","0","500","40","1","0.3","1","0","2","500","1.966","27.732","46.27272727272727","207.90666666666667","46.27272727272727","0","207.90666666666667","0","0","0"
"13","false","1","0.4","0","500","40","1","0.3","1","0","4","500","1.934","28.192","42.791666666666664","190.6342857142857","42.791666666666664","0","190.6342857142857","0","0","0"
"7","false","1","0.4","0","500","40","1","0.3","1","0","2","500","1.554","28.094","43.26315789473684","177.48214285714286","43.26315789473684","0","177.48214285714286","0","0","0"
"17","false","1","0.4","0","500","40","1","0.3","1","0","4","500","1.824","27.82","49.1578947368421","181.8092485549133","49.1578947368421","0","181.8092485549133","0","0","0"
"25","false","1","0.4","0","500","40","1","0.3","1","0","6","500","2.58","27.394","48.32142857142857","204.8954248366013","48.32142857142857","0","204.8954248366013","0","0","0"
"26","false","1","0.4","0","500","40","1","0.3","1","0","6","500","1.64","28.136","44.1578947368421","203.17964071856287","44.1578947368421","0","203.17964071856287","0","0","0"
"28","false","1","0.4","0","500","40","1","0.3","1","0","6","500","1.598","27.644","43.05263157894737","210.95209580838323","43.05263157894737","0","210.95209580838323","0","0","0"
"27","false","1","0.4","0","500","40","1","0.3","1","0","6","500","1.222","27.176","41.733333333333334","186.3877551020408","41.733333333333334","0","186.3877551020408","0","0","0"
"29","false","1","0.4","0","500","40","1","0.3","1","0","6","500","2.174","27.83","45.76","196.71875","45.76","0","196.71875","0","0","0"
"31","false","1","0.4","0","500","40","1","0.3","1","0.2","2","500","2.032","27.412","47.81818181818182","217.53846153846155","47.81818181818182","0","217.53846153846155","0","0","0"
"30","false","1","0.4","0","500","40","1","0.3","1","0","6","500","2.496","28.298","47.17857142857143","194.83597883597884","47.17857142857143","0","194.83597883597884","0","0","0"
"32","false","1","0.4","0","500","40","1","0.3","1","0.2","2","500","1.852","27.844","45.095238095238095","227.98742138364778","45.095238095238095","0","227.98742138364778","0","0","0"
"33","false","1","0.4","0","500","40","1","0.3","1","0.2","2","500","2.162","27.598","44.96","204.71337579617835","44.96","0","204.71337579617835","0","0","0"
"49","false","1","0.4","0","500","40","1","0.3","1","0.2","4","500","1.684","27.24","45.8421052631579","185.35714285714286","45.8421052631579","0","185.35714285714286","0","0","0"
"36","false","1","0.4","0","500","40","1","0.3","1","0.2","2","500","1.618","27.322","41.75","209.49664429530202","41.75","0","209.49664429530202","0","0","0"
"35","false","1","0.4","0","500","40","1","0.3","1","0.2","2","500","1.396","27.99","43.05882352941177","204.2792207792208","43.05882352941177","0","204.2792207792208","0","0","0"
"37","false","1","0.4","0","500","40","1","0.3","1","0.2","2","500","2.16","27.552","48.82608695652174","210.1656050955414","48.82608695652174","0","210.1656050955414","0","0","0"
"39","false","1","0.4","0","500","40","1","0.3","1","0.2","2","500","1.406","28.276","38.526315789473685","212.51666666666668","38.526315789473685","0","212.51666666666668","0","0","0"
"34","false","1","0.4","0","500","40","1","0.3","1","0.2","2","500","1.866","27.496","45.857142857142854","199.78125","45.857142857142854","0","199.78125","0","0","0"
"38","false","1","0.4","0","500","40","1","0.3","1","0.2","2","500","1.618","27.472","44.05263157894737","195.33544303797467","44.05263157894737","0","195.33544303797467","0","0","0"
"43","false","1","0.4","0","500","40","1","0.3","1","0.2","4","500","1.138","28.112","36.5625","212.78313253012047","36.5625","0","212.78313253012047","0","0","0"
"44","false","1","0.4","0","500","40","1","0.3","1","0.2","4","500","2.174","27.39","46.708333333333336","196.45890410958904","46.708333333333336","0","196.45890410958904","0","0","0"
